make,model,x_resolution,y_resolution,resolution_unit,software,datetime,_exif_ifd_pointer,compression,jpeg_interchange_format,jpeg_interchange_format_length,exposure_time,f_number,exposure_program,photographic_sensitivity,exif_version,datetime_original,datetime_digitized,shutter_speed_value,aperture_value,exposure_bias_value,subject_distance,metering_mode,focal_length,pixel_x_dimension,pixel_y_dimension,focal_plane_resolution_unit,exposure_mode,white_balance,spikelets_num,name
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 11:16:14,196,6,912,1979,0.00625,14.0,1,100,0220,2019:01:22 11:16:14,2019:01:22 11:16:14,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,33,IMG_9951
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 10:35:19,196,6,912,2089,0.00625,14.0,1,100,0220,2019:01:22 10:35:19,2019:01:22 10:35:19,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,24,IMG_9775
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:19 10:12:18,196,6,912,1898,0.008,9.0,1,100,0220,2018:04:19 10:12:18,2018:04:19 10:12:18,7.0,6.375,0.0,0.0,5,100.0,5184,3456,2,1,0,21,IMG_0315
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2017:10:10 09:43:06,196,6,912,2023,0.00625,13.0,1,200,0220,2017:10:10 09:43:06,2017:10:10 09:43:06,7.375,7.375,0.0,0.0,5,60.0,5184,3456,2,1,0,13,6445_2
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:20 10:57:56,196,6,912,1694,0.008,9.0,1,100,0220,2018:04:20 10:57:56,2018:04:20 10:57:56,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,22,IMG_0802
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 11:37:20,196,6,912,2062,0.00625,14.0,1,100,0220,2019:01:22 11:37:20,2019:01:22 11:37:20,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,31,IMG_0045
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 10:58:26,196,6,912,2161,0.00625,14.0,1,100,0220,2019:01:22 10:58:26,2019:01:22 10:58:26,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,19,IMG_9866
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2017:06:21 09:30:08,196,6,912,2026,0.00625,10.0,1,100,0220,2017:06:21 09:30:08,2017:06:21 09:30:08,7.375,6.625,0.0,0.0,5,112.0,5037,3358,2,1,0,23,8735
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 10:22:22,196,6,912,2358,0.00625,14.0,1,100,0220,2019:01:22 10:22:22,2019:01:22 10:22:22,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,28,IMG_9718
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:23 10:16:46,196,6,912,1836,0.008,9.0,1,100,0220,2018:04:23 10:16:46,2018:04:23 10:16:46,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,18,IMG_1017
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2017:06:21 09:55:32,196,6,912,2025,0.00625,10.0,1,100,0220,2017:06:21 09:55:32,2017:06:21 09:55:32,7.375,6.625,0.0,0.0,5,112.0,5037,3358,2,1,0,18,8813
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2017:06:21 09:53:45,196,6,912,2064,0.00625,10.0,1,100,0220,2017:06:21 09:53:45,2017:06:21 09:53:45,7.375,6.625,0.0,0.0,5,112.0,5037,3358,2,1,0,24,8805
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:20 09:40:23,196,6,912,1844,0.008,9.0,1,100,0220,2018:04:20 09:40:23,2018:04:20 09:40:23,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,23,IMG_0642
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:20 09:40:33,196,6,912,1797,0.008,9.0,1,100,0220,2018:04:20 09:40:33,2018:04:20 09:40:33,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,21,IMG_0643
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:23 10:46:43,196,6,912,1690,0.008,9.0,1,100,0220,2018:04:23 10:46:43,2018:04:23 10:46:43,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,17,IMG_1134
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 10:10:02,196,6,912,2174,0.00625,14.0,1,100,0220,2019:01:22 10:10:02,2019:01:22 10:10:02,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,28,IMG_9662
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:23 09:53:08,196,6,912,1758,0.008,9.0,1,100,0220,2018:04:23 09:53:08,2018:04:23 09:53:08,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,19,IMG_0928
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2017:06:21 09:27:23,196,6,912,2024,0.00625,10.0,1,100,0220,2017:06:21 09:27:23,2017:06:21 09:27:23,7.375,6.625,0.0,0.0,5,112.0,5037,3358,2,1,0,23,8729
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:19 10:17:06,196,6,912,1900,0.008,9.0,1,100,0220,2018:04:19 10:17:06,2018:04:19 10:17:06,7.0,6.375,0.0,0.0,5,100.0,5184,3456,2,1,0,22,IMG_0325
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2017:10:09 14:37:49,196,6,912,2083,0.00625,13.0,1,200,0220,2017:10:09 14:37:49,2017:10:09 14:37:49,7.375,7.375,0.0,0.0,5,70.0,5184,3456,2,1,0,23,6445
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:23 10:39:20,196,6,912,1723,0.008,9.0,1,100,0220,2018:04:23 10:39:20,2018:04:23 10:39:20,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,20,IMG_1103
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:02:01 15:06:14,196,6,912,2469,0.00625,9.0,1,100,0220,2019:02:01 15:06:14,2019:02:01 15:06:14,7.375,6.375,0.0,0.0,5,63.0,3456,5184,2,1,1,12,6671_3_{X-18}
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 11:07:57,196,6,912,2242,0.00625,14.0,1,100,0220,2019:01:22 11:07:57,2019:01:22 11:07:57,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,27,IMG_9911
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:23 09:28:55,196,6,912,2230,0.00625,14.0,1,100,0220,2019:01:23 09:28:55,2019:01:23 09:28:55,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,25,IMG_0188
