name,spikelets_num,H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3,ratio,bbox_width,bbox_height,spike_perimeter
Spike_4,9,826779,39943,462596,263,531,0,10349,20623,15,1251739,209766,114860,4,1258,17648,17360,1322,17777,1354,163953,198255,0,0,0,0,2,18579,0.0861107664931022,15.24160566927909,85.16354806167809,196.80394378586723
Spike_321,11,767648,39749,460073,345,727,21,9389,19801,26,1061527,270279,127130,17,652,17143,8205,8917,15503,722,333627,215966,0,0,0,0,0,17509,0.0875244204372385,48.576053342667365,75.97119693952303,231.49332472344125
Spike_692,14,7402,9178,577158,115,1014,58,201,27064,56,1532379,177323,196885,42,21793,2086,21182,2391,12273,331671,172080,258685,0,0,0,0,0,23940,0.0772122813872114,17.6044001562842,96.43813945262703,276.9208042698798
Spike_344,10,499872,6671,453006,991,600,7,14936,10347,23,1488477,124686,108775,395,872,17114,15050,12989,17083,2480,411524,171401,0,0,0,0,1,17676,0.087372156242761,48.75366318346064,54.60759765172563,171.26257462561037
Spike_98,10,615760,10237,470330,461,728,25,4895,19708,16,1582683,109860,98033,227,869,17644,12552,6614,17004,3868,208960,176337,0,0,0,0,0,18165,0.0858930301918219,15.37485240433612,76.96015505187242,178.5254085554203
Spike_424,10,277557,6650,445217,187,608,10,3401,3241,2,1918034,47209,99860,554,881,17182,19269,17103,17244,6144,316684,160275,0,0,0,0,2,17662,0.0875059972627761,13.563429575730295,78.93040953102404,178.62027141246443
Spike_508,10,85940,111904,446059,135,694,0,292,21953,4,1148811,795403,135777,11,12625,7160,15814,3361,13303,58,327343,228905,0,0,0,0,0,19424,0.0876324075713503,51.264958429239925,73.78648717507694,247.38115657395602
Spike_82,13,447159,7751,457691,338,605,3,4864,4250,7,1830391,66640,105791,100,1006,17627,18598,16760,17682,2272,192495,164616,0,0,0,0,3,18327,0.0867178425124086,14.568597542084646,66.07899599445535,152.34873298568962
Spike_25,12,757297,53352,480204,111,656,6,2865,20731,27,1229258,271777,110544,3,1016,17783,15182,2959,16864,113,173574,202237,0,0,0,0,0,18417,0.0865779736712155,29.696244969226917,84.50010230310633,221.7256013931579
Spike_799,9,13603,8874,599552,136,966,40,244,27242,43,1764738,124790,168743,42,20834,3135,22187,1336,13807,164614,171497,244617,0,0,0,0,0,23936,0.0757926888290991,15.31012314347802,71.77567632115685,190.05268167885222
Spike_40,14,259893,5419,446524,630,491,0,13677,2733,1,2085308,50674,109918,268,1182,17799,21354,17827,17993,19036,151807,133868,2,0,0,0,18,18554,0.0865723910935296,30.386909273828888,43.719057502232445,123.50665154010524
Spike_757,10,13341,4836,584256,158,860,74,212,26931,29,1632963,141373,171494,46,19996,4039,23307,392,15338,222001,232172,257138,0,0,0,0,0,24020,0.0762885850976984,16.478334381102854,70.64322980046872,175.49133185302705
