H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3,name
603177,13499,476005,690,741,11,11103,18483,19,1489408,145761,120138,151,755,18007,14331,7053,18014,1279,209522,208332,0,0,0,0,0,18497,Spike_46
538936,7292,456502,449,547,2,12323,5660,5,1720507,68019,119752,18,1058,17881,18997,15146,17916,8069,165433,181875,0,0,0,0,9,18580,Spike_22
261765,6602,443243,130,581,3,2115,3520,3,1961297,54887,103085,199,938,17101,17897,16784,17139,3705,299755,146569,0,0,0,0,1,17657,Spike_425
584685,7504,468843,891,583,3,12231,8346,6,1680510,65974,104751,41,876,17956,19406,12978,17867,4276,169012,179732,2,0,0,0,1,18502,Spike_58
18736,49338,414366,158,264,0,57,18951,13,1245316,895768,153574,37,20024,28,19205,3022,15870,130,342489,157952,0,0,0,0,0,19678,Spike_441
210422,5230,443944,411,496,0,11719,2701,0,2090547,54388,113479,198,1216,17775,21201,17973,17990,19625,181141,145903,3,0,0,0,16,18598,Spike_38
19920,23448,601520,155,1298,188,822,27437,125,1824035,219568,155696,8,13367,10183,13359,9376,9730,41552,144794,234683,0,0,0,0,0,23712,Spike_575
360222,8760,454866,178,608,21,5905,17871,7,1767349,88589,97274,122,839,17154,14612,5289,17114,1531,329048,169970,0,0,0,0,1,17646,Spike_385
673156,16658,452834,499,697,3,7699,19564,5,1390999,131292,107892,42,819,17035,10532,6944,16293,2907,333729,167838,0,0,0,0,0,17539,Spike_194
521133,15041,459327,122,753,39,6174,19842,20,1431846,225921,115049,85,697,17163,10437,6926,15993,563,320945,189372,0,0,0,0,0,17528,Spike_407
5842,5323,572809,146,1025,46,232,27244,57,1709266,122009,166320,33,20876,3096,21622,1944,11466,318861,143071,219741,0,0,0,0,0,23947,Spike_644
304651,7054,448834,226,612,7,7411,4257,10,1843147,81968,97875,818,869,17166,19101,17287,17283,4020,335273,149423,0,0,0,0,1,17683,Spike_410
562102,17567,460026,128,726,63,5712,19891,51,1363410,246118,117643,74,664,17162,8993,8361,16492,651,320424,191123,0,0,0,0,0,17595,Spike_380
9841,6814,588453,168,1164,98,382,27519,71,1762346,171921,157096,13,17346,6450,18431,4881,7929,187289,166902,216074,0,0,0,0,0,23788,Spike_622
11386,5051,553353,145,915,71,164,27006,71,1842808,94945,172623,80,21495,2438,23018,685,17208,238567,147380,191548,0,0,0,0,0,24019,Spike_765
651789,10681,454340,1031,621,0,13183,10073,5,1601386,89446,117119,50,1108,17875,21382,10654,17923,15668,159867,162144,1,0,0,0,11,18619,Spike_6
677197,8682,454585,418,689,6,15605,19404,24,1436079,80634,102190,111,914,17036,11172,6855,16580,5211,312122,191878,0,0,0,0,0,17584,Spike_232
5082,4373,592792,103,864,73,183,26979,24,1627571,111129,170682,41,22057,2007,23236,459,16999,266963,250684,228692,0,0,0,0,0,23983,Spike_814
255428,12986,465660,137,713,0,918,21986,18,1700377,235657,114653,5,2920,16963,17613,1648,17352,113,319936,170359,0,0,0,0,0,19534,Spike_436
905295,31709,472909,516,818,46,5422,20237,25,1234054,129534,102960,159,711,17706,9263,8725,16848,2107,201112,196717,0,0,0,0,0,18103,Spike_128
806444,19633,457019,566,790,14,11544,19756,32,1263819,83627,98530,154,794,17106,7967,9656,16396,1725,343777,198084,0,0,0,0,0,17543,Spike_214
656597,9976,464082,637,601,6,4467,11069,5,1600525,75957,102184,111,929,17699,17845,10143,17724,2062,197451,166614,0,0,0,0,2,18290,Spike_76
509126,6401,448022,672,630,5,13707,8827,6,1670854,49180,99388,268,959,17070,15497,14794,16890,18452,308600,157974,3,0,0,0,0,17651,Spike_208
77061,21785,436137,166,440,0,162,20436,6,1604280,482805,142079,41,17650,2314,19284,1537,17831,154,337692,173543,0,0,0,0,0,19573,Spike_438
10126,5980,590431,116,1047,72,227,27152,56,1538777,246199,166962,29,21191,2706,20966,2598,10998,297007,163997,244465,0,0,0,0,0,23874,Spike_712
401075,8766,462579,385,628,7,4381,6256,7,1822935,82360,108498,44,928,17688,17764,14685,17661,1726,198384,189948,0,0,0,0,2,18269,Spike_104
932453,71183,475946,117,691,4,7162,20754,28,881327,400595,118869,3,1072,17746,13348,4850,17135,2041,195173,196034,0,0,0,0,0,18445,Spike_8
1040317,81247,481586,289,758,29,7731,20660,59,792535,321778,137767,2,733,17928,7671,10305,15548,468,205815,213405,0,0,0,0,0,18345,Spike_16
27221,41062,405564,108,330,0,27,11315,21,1308308,831072,153008,58,19984,42,19178,10761,16946,179,333635,176472,0,0,0,0,0,19685,Spike_431
85276,18893,449051,152,530,0,291,21671,12,1528683,486765,137356,11,14423,5528,19187,339,16716,162,372255,198114,0,0,0,0,0,19561,Spike_427
10094,134088,446035,95,370,0,70,21676,17,845526,1183834,139612,26,19699,251,15652,3812,12123,36,307403,215079,0,0,0,0,0,19478,Spike_446
471332,7717,446264,302,604,2,5953,9617,6,1692274,75128,104536,33,1161,16859,16977,11469,16646,8573,314532,157407,0,0,0,0,0,17584,Spike_220
